prefLabel;hasLanguage
manhoso;pt
maldoso;pt
líquido;pt
lotado;pt
laranja;pt
jocoso;pt
israelita;pt
involuntário;pt
invejável;pt
insinuante;pt
insensato;pt
infalível;pt
inesquecível;pt
inefável;pt
indolente;pt
indirecto;pt
indicador;pt
inconfundível;pt
imperturbável;pt
imperceptível;pt
iluminado;pt
higiénico;pt
harmonioso;pt
gémeo;pt
fumado;pt
flácido;pt
fictício;pt
faminto;pt
faiscante;pt
esverdeado;pt
estático;pt
estirado;pt
estendido;pt
esgotado;pt
escrupuloso;pt
escorregadio;pt
entreaberto;pt
enigmático;pt
empoado;pt
econômico;pt
dormente;pt
dorido;pt
dissimulado;pt
diagonal;pt
detestável;pt
despercebido;pt
desonesto;pt
desiludido;pt
descomunal;pt
descoberto;pt
desarrumado;pt
deplorável;pt
daninho;pt
cúmplice;pt
côncavo;pt
cândido;pt
criativo;pt
creme;pt
corrido;pt
convulso;pt
convidativo;pt
constrangedor;pt
confundido;pt
compreensível;pt
clínico;pt
celestial;pt
carrancudo;pt
cabeludo;pt
berrante;pt
atencioso;pt
asiático;pt
arrogante;pt
arrepiado;pt
arregalado;pt
arrastado;pt
arquejante;pt
aparatoso;pt
amuado;pt
alucinante;pt
ajoelhado;pt
afogueado;pt
administrativo;pt
voluntário;pt
viscoso;pt
venial;pt
velado;pt
vegetal;pt
uniforme;pt
teológico;pt
televisivo;pt
taciturno;pt
supérfluo;pt
suplicante;pt
superficial;pt
sufocante;pt
sucedido;pt
substancial;pt
solícito;pt
solteirão;pt
solar;pt
servil;pt
sensacional;pt
revelador;pt
ressentido;pt
resistente;pt
republicano;pt
relutante;pt
refulgente;pt
rechonchudo;pt
recatado;pt
químico;pt
privativo;pt
poético;pt
pomposo;pt
polar;pt
parcial;pt
paralítico;pt
paralelo;pt
ouro;pt
optimista;pt
obeso;pt
norte;pt
nativo;pt
matreiro;pt
lilás;pt
letal;pt
lendário;pt
irreverente;pt
irrequieto;pt
insólito;pt
instante;pt
inseparável;pt
insatisfeito;pt
insaciável;pt
informe;pt
inexorável;pt
inexistente;pt
indígena;pt
incoerente;pt
impiedoso;pt
impetuoso;pt
imoral;pt
imobiliário;pt
imaginativo;pt
ignóbil;pt
idílico;pt
horizontal;pt
hipócrita;pt
hilariante;pt
gótico;pt
gélido;pt
grátis;pt
gorducho;pt
fétido;pt
forro;pt
fluido;pt
flagrante;pt
felpudo;pt
exaustivo;pt
exaltado;pt
estafado;pt
esporte;pt
